Book name,Prices,Audio Book Availability
100. Cheap: The High Cost of Discount Culture – Ellen Ruppel Shell, $14.49, None
8. The One Thing – Gary Keller, $14.51, None
10. Predictably Irrational – Dan Ariely, $14.63, Available
2. The 7 Habits of Highly Effective People – Stephen Covey, $14.76, None
51. Pre-Suasion: A Revolutionary Way to Influence and Persuade – Robert Cialdini, $14.90, None
89. Crucial Conversations Tools for Talking When Stakes Are High – Kerry Patterson, $14.94, None
90. Difficult Conversations: How To Discuss What Matters Most – Douglas Stone, $14.99, None
90. Difficult Conversations: How To Discuss What Matters Most – Douglas Stone, $14.99, None
90. Difficult Conversations: How To Discuss What Matters Most – Douglas Stone, $14.99, None
46. Prometheus Rising – Robert Anton Wilson, $15.23, None
63. It’s Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond – Julia Cameron, $15.29, None
41. Your Brain at Work – David Rock, $15.48, None
1. Man’s Search for Meaning – Viktor Frankl, $15.54, Available
80. What Got You Here Won’t Get You There: How successful people become even more successful – Marshall Goldsmith, $15.66, None
62. Feeling Good: The New Mood Therapy – David D. Burns, $15.69, None
52. Mastery – Robert Greene, $15.95, None
73. Be Obsessed or Be Average – Grant Cardone, $15.99, None
69. Dare: The New Way to End Anxiety and Stop Panic Attacks, $16.16, None
37. Getting to Yes: Negotiation Agreement Without Giving In – Roger Fisher, $16.20, None
3. Just Listen: Discover the Secret to Getting Through to Absolutely Anyone – Mark Goulston, $16.35, None
54. Succeed: How We Can Reach Our Goals – Heidi Grant Halvorson, $16.99, None
54. Succeed: How We Can Reach Our Goals – Heidi Grant Halvorson, $16.99, None
96. Pitch Anything: An Innovative Method for Presenting| Persuading| and Winning the Deal – Oren Klaff, $17.73, None
29. Eat That Frog! – Brian Tracy, $17.80, None
5. Fooled by Randomness – Nassim Nicholas Taleb, $17.99, None
99. Blur: How to Know What’s True in the Age of Information Overload – Bill Kovach, $18.00, None
99. Blur: How to Know What’s True in the Age of Information Overload – Bill Kovach, $18.00, None
92. First| Break All The Rules: What the World’s Greatest Managers Do Differently – James K. Harter, $18.26, None
20. The 4 Hour Workweek – Timothy Ferriss, $19.29, None
94. Power Questions: Build Relationships| Win New Business| and Influence Others – Andrew Sobel, $19.52, None
21. The Compound Effect – Darren Hardy, $19.70, None
65. The Book of Joy – Dalai Lama| Desmond Tutu, $19.99, None
44. 50 Great Myths of Popular Psychology: Shattering Widespread Misconceptions about Human Behaviour, $21.49, None
84. A Beautiful Constraint: How To Transform Your Limitations Into Advantages| and Why It’s Everyone’s Business, $21.99, None
78. Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body| Better Health| and Bigger Success, $22.72, None
38. Winning – Jack Welch, $25.80, None
40. The Success Principles: How to Get from Where You Are to Where You Want to Be – Jack Canfield, $27.65, None
87. The Big Book of NLP| Expanded: 350+ Techniques| Patterns & Strategies of Neuro-Linguistic Programming – Shlomo Vaknin, $39.99, None
61. Love Yourself Like Your Life Depends On It – Kamal Ravikant, $43.31, None
